,phrases,frequency,English
0,abdomin shape hb model shape,1,
1,alreadi request exchang the product,2,
2,am wait posit the store,3,
3,arriv me diverg relat inform,2,
4,ask product code come anoth,3,
5,be insur mere mistak sent,2,
6,bought one hundr ten grinder,2,
7,bought product receiv anoth total,2,
8,bought two curtain onli came,2,
9,bought two equal splendid valv,2,
10,bought two paid two receiv,2,
11,bought two perfum came one,2,
12,bought two unit onli receiv,2,
13,bsp step equal not the,2,
14,but thread differ one bsp,2,
15,buy the site canist think,2,
16,can evalu not receiv product,2,
17,can solv problem poor call,1,
18,can speak even he receiv,1,
19,can take complaint anymor no,1,
20,can talk not receiv product,1,
21,can track onli say are,1,
22,cancel anyth alreadi paid the,1,
23,cancel at time seller contact,1,
24,cancel await post number is,1,
25,cancel bought wrong product even,1,
26,cancel buy stainless note emit,1,
27,cancel cancel could not speak,1,
28,cancel could not speak the,1,
29,cancel deliveri the product it,1,
30,cancel deliveri they not warn,1,
31,cancel deliveri want exercis right,1,
32,cancel did not cancel anyth,1,
33,cancel did receiv the post,1,
34,cancel even issu nf not,1,
35,cancel fifteen day still no,1,
36,cancel five time went you,1,
37,cancel ha time sent anyway,1,
38,cancel issuanc voic still deliv,1,
39,cancel now alreadi receiv ll,1,
40,cancel one got touch not,1,
41,cancel one them it effect,1,
42,cancel order still sent anoth,1,
43,cancel plu product deliv anyway,1,
44,cancel product alreadi made nine,1,
45,cancel product even it deliv,1,
46,cancel product solv the wa,1,
47,cancel purchas and inform onli,1,
48,cancel purchas even tri give,1,
49,cancel purchas next card administr,1,
50,cancel purchas not get return,1,
51,cancel purchas one day deliveri,1,
52,cancel purchas so far noth,1,
53,cancel purchas twice until today,1,
54,cancel purchas voic issu the,1,
55,cancel purchas wa charg demand,1,
56,cancel reason alreadi reimburs pleas,1,
57,cancel request may eleven and,1,
58,cancel request not arriv correct,1,
59,cancel request not ask wish,1,
60,cancel request not revers note,1,
61,cancel request not the product,1,
62,cancel request receiv within two,1,
63,cancel request revers purchas hj,1,
64,cancel request soon merchandis arriv,1,
65,cancel request the time bought,1,
66,cancel request without warn left,1,
67,cancel request yet deliv wa,1,
68,cancel return the product well,1,
69,cancel sale he not product,1,
70,cancel same day purchas receiv,1,
71,cancel shipment yet have levi,1,
72,cancel site telephon mail unfortun,1,
73,cancel store not deliv the,1,
74,cancel store take mt make,1,
75,cancel the forti eighth deadlin,1,
76,cancel the order it claim,1,
77,cancel the order not answer,1,
78,cancel the product alreadi dispatch,1,
79,cancel the purchas am satisfi,1,
80,cancel the purchas the site,1,
81,cancel the request want the,1,
82,cancel the request will happen,1,
83,cancel the sale the eve,1,
84,cancel the sale to pay,1,
85,cancel the site wait the,1,
86,cancel thi product launch voic,1,
87,cancel until cancel store take,1,
88,cancel wa realiz explain reason,1,
89,cancel wait return the valu,1,
90,cancel want chang anoth product,1,
91,cancel want know receiv not,1,
92,cancel without explan still wait,1,
93,cancel yet store sent product,1,
94,cancel you tri sever time,1,
95,candl came broken coal come,1,
